,South Africa,Algeria,Libya,Morocco,Western Sahara,Sudan,Tunisia,Egypt,North Africa nes,Cameroon,Central Afr Rep,Chad,Congo,Gabon,Ceuca nes,Angola,Br Ind Oc Tr,Burundi,Comoros,Congo Dem Rep,Benin,Eq Guinea,Ethiopia,Fr So Ant Tr,Djibouti,Gambia,Ghana,Guinea,Cote D'Ivoire,Kenya,Liberia,Madagascar,Malawi,Mali,Mauritania,Mauritius,Mozambique,Niger,Nigeria,Guinea-Bissau,Reunion,Rwanda,St Helena,Senegal,Seychelles,Sierra Leone,Somalia,Zimbabwe,Togo,Uganda,Tanzania,Burkina Faso,Zambia,Other Africa nes,Canada,USA,Bermuda,Greenland,St Pierre Miqu,Argentina,Bolivia,Brazil,Chile,Colombia,Ecuador,Mexico,Paraguay,Peru,Uruguay,Venezuela,Laia nes,Costa Rica,El Salvador,Guatemala,Honduras,Nicaragua,Cacm nes,Bahamas,Barbados,Cayman islds,Cuba,Dominican Rp,Guadeloupe,Haiti,Jamaica,Neth Antilles,St Kitts Nev,Trinidad Tbg,Turks Caicos Isl,Caribbean nes,Belize,Falkland Isl,French Guiana,Guyana,Panama,Suriname,Rest America nes,Israel,Japan,Bahrain,Cyprus,Iran,Iraq,Jordan,Kuwait,Lebanon,Oman,Qatar,Saudi Arabia,Fm Dem Yemen,Syrn Arab Rp,Untd Arab Em,Turkey,Fm Yemen,Yemen,Middle East nes,Afghanistan,Bangladesh,Bhutan,Brunei,Myanmar,Cambodia,Sri Lanka,Hong kong,India,Indonesia,Korea Rp,Laos P Dem R,Malaysia,Maldives,Nepal,Pakistan,Philippines,Singapore,Thailand,Taiwan,China,Korea D P Rp,Mongolia,Vietnam,Asia cpe nes,Belgium-Lux,Denmark,France,Germany,Greece,Ireland,Italy,Netherlands,Portugal,Spain,UK,EEC nes,Austria,Finland,Iceland,Norway,Sweden,Switzerland,EFTA nes,Gibraltar,Malta,Other Eur nes,Albania,Bulgaria,Fm Czechoslovak,Fm German Dm Rp,Hungary,Poland,Romania,Fm Eur cpe nes,Fm Yugoslavia,Fm USSR,Australia,New Zealand,Solomon Islds,Fiji,Kiribati,New Caledonia,Papua N Guinea,Oth Oceania nes,Areas nes,Unknown partner
      Nicaragua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2264.947368,,,,,,,,,,,,,,,,3.368421,0.578947,0.842105,0.263158,,,,,,2.736842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.315789,,,,,,1383.684211,349.157895,,,1.947368,,,,,,,,,,,,,,,,,,,,,,,,,,,,
      Cacm nes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
      Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,90.157895,2.105263,,,,,14.421053,,,,2.421053,,,,,,,,,,,,,3.526316,0.368421,,,,0.263158,2.105263,0.578947,,4.105263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.894737,,,,,,,,,,1,9.578947,0.263158,,,,,,,32.263158,,,,,,,12.473684,,,,,,,1.578947,,,,,,0.368421,18.947368,,,,,,,,,,
      Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.789474,67.631579,5.052632,,,,,,,,,,,,,,,,,,,,,10.526316,,,,,15.105263,,7,12.684211,100.473684,352.315789,,,1.947368,,1.631579,27.578947,,6.578947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.315789,,,,,0.315789,,,22.157895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
      Cayman islds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.052632,,,,,,5.947368,,,,,,,,,,0.421053,0.421053,,,,,0.368421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.315789,,,,,,,,,,,,,,,,0.315789,,,1.052632,,,,,,,,,,,,,,,,2.105263,,,,,,,,,,,,,,,
      Cuba,,8.684211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.210526,,,,,3.157895,1.473684,,,4.368421,,22.315789,,0.421053,,3.105263,,0.421053,,,,5.052632,,,,,,,0.578947,,,,,,,,,,,,,,,,8.631579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.315789,,,,,,,,2,0.315789,17.105263,3,,,1.210526,1.842105,,35.631579,5.631579,,0.368421,,,,0.631579,,,,,,,,0.368421,,,14.315789,,,,,,,,,,,,,,
      Dominican Rp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.263158,57.789474,,,,,,,,0.421053,,,,1.052632,,,,,,1.263158,,,,,,,,,,16.473684,,0.263158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.263158,,,,2.421053,,,,1.947368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
      Guadeloupe,,,,2.263158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.473684,,,,,,,,,,,,,,,13.578947,,,,,,,,,,,,,,,,,,,,,,,0.473684,,,,28.105263,0.894737,,,0.736842,,,,,,38.210526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.157895,,,,,,,,2.578947,,,,,,0.421053,,,,,,,,,,,,,,,,,,,,,,,,,
      Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.157895,290.789474,,,,,,,,,,,,,,,,,,,,,,,,,,1.052632,1.842105,,,,,,,,,,0.947368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.789474,,,,,,,0.315789,,,,,,,,,,,2.263158,,,,,,,,,,,,,,
      Jamaica,,,,,,0.315789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.947368,147.578947,0.263158,,,,,,,,,,,,,13.684211,,,,,,,,1.157895,75.263158,1.157895,,,0.684211,,,1.052632,5.789474,170.526316,,,2.210526,,,61.157895,0.368421,4.210526,,,64.894737,,,,,,,,,,,,,,,,,,,,,0.263158,,,,,,,,,,,,,,,,,,,,,,,,6.052632,20,,,1.263158,0.578947,,,114.157895,,,,,,,1.578947,,,,,,,0.315789,,,,,,,,,,,,,,,,,
      Neth Antilles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.052632,,,,0.631579,,,,28.105263,0.368421,4.315789,,4.684211,,25.684211,,,,,,,,1.263158,0.263158,,,1.789474,,,,11.263158,4.842105,1.263158,,,,,,,0.631579,0.263158,,,49.052632,,,,,,,,,,4.894737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.947368,,4.105263,,,,2,35.842105,,,1.315789,,,,,,,,,,,0.263158,,,,,,0.263158,,,,,,,,,,,,,26.894737,
      St Kitts Nev,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.315789,126.105263,,,,,,0.421053,,6.315789,,,,,,0.368421,,,,,,,,0.315789,0.421053,,,,5.789474,,0.421053,13.631579,29.578947,2,,,,,,,,,,,6.052632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.473684,0.947368,,,,0.315789,1.157895,1,69.578947,,0.368421,,,,0.789474,0.578947,,,,,,,0.421053,,,1.105263,,,,,,,,,,,,,,
      Trinidad Tbg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.105263,,,,,,,,,,,,,,,,32.368421,176.789474,,,,1.052632,,0.421053,,0.368421,,,,,,9.105263,,,,,,,,1.263158,11.473684,1.578947,,,,,7.578947,1.368421,32.736842,,,,,,,2.368421,,0.947368,,,12.736842,,,,,,,,,,,,,20.473684,,,,,,,,,,,,,0.578947,,,,,,,,,,,,,,,,,,1.368421,5.157895,5.105263,,,2.684211,6.052632,,,18.578947,,,0.315789,,1.263158,,5.105263,,,,,,,,,,,,,,,1,,,,,,,,1.894737,
      Turks Caicos Isl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.526316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
      Caribbean nes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
      Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.368421,,,,,,,,,,83.631579,,,,,,0.315789,,0.263158,0.263158,,,,,,,,,,,,,,,,,,,,,,,,0.736842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.578947,
      Falkland Isl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.736842,,,,,,0.894737,,,,,,,,,,,,,,,,,,,,,,,,,
      French Guiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.631579,,,,,,,,,,,,0.263158,,,,,,,,,,,,,,,,,,2.315789,,,,,,,,,,,,,,,,,,,,,,,,5.157895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,1.052632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.578947,
      Guyana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.263158,,,,,,,0.315789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.105263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.473684,
      Panama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.578947,,,,4,6.631579,45.315789,0.421053,29.894737,1.368421,72.526316,25.789474,7.421053,4.842105,12.315789,,39.210526,4.473684,3.052632,20.789474,5.052632,,,,,,,,,,6.052632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.368421,,,,,,,,,,,,,,,,,,,,0.526316,,,,,,,2.789474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
      Suriname,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.105263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.315789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.578947,0.368421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
      Rest America nes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
      Israel,99.736842,,,,,,,0.947368,,,,,,,,,,,,,,,,,,,,,,1.894737,,,,,,,,,5,,,,,,,,,,,,1.526316,,,0.263158,140.105263,4397,,,,57.736842,,24.631579,79.526316,19.157895,0.315789,73.684211,,1.789474,3.631579,,,10.684211,0.368421,,,,,,,,,,,,1.105263,,1.631579,1.473684,,,,,,,0.631579,,,,522.421053,,47.631579,,,0.684211,,,,,,,,,17,,,,,,,,,,,93.263158,22.315789,1.894737,141,,,,,,0.842105,94.052632,14.894737,96.368421,8.052632,,,,,169.789474,94.157895,493.473684,1558.736842,109.947368,64.105263,176,994.157895,157.789474,87.842105,1385.631579,,77.052632,40.368421,,31.052632,54.263158,77.736842,,,0.842105,5.578947,,0.526316,5.578947,,5.684211,16.052632,9.684211,,2.578947,65.947368,107.684211,4.631579,,0.368421,,,,,2.157895,
      Japan,11098.94737,431.473684,3360.842105,231.052632,,41.421053,258.473684,2093.684211,,74.157895,0.894737,,26.789474,45.736842,,14.631579,6.263158,0.315789,,88.842105,18.105263,,56.578947,,64.105263,5.052632,72.052632,12.842105,232.473684,59.315789,37.473684,64.105263,19.894737,1.368421,4.894737,319.578947,51.578947,2.526316,3715.842105,1,721.105263,7.894737,,91.157895,79.368421,13.894737,,43.052632,36.473684,15.368421,61.421053,44.947368,22.157895,,63854,1077235.368,155.421053,,34.684211,8159.157895,161.052632,20549.89474,5647.842105,1363.578947,545.526316,25910.47368,2511.631579,1013.947368,904.631579,5185.842105,,679.684211,122.210526,620,129.842105,33.157895,,31.105263,150.263158,5.947368,312.684211,89.157895,860.842105,22.736842,82.842105,359.315789,56.894737,424.631579,,,94.526316,,193.947368,2.368421,3276.894737,63.842105,,5803.684211,,2170.052632,2163.473684,2776.894737,2967.842105,889.631579,14948.47368,2677.736842,2466.526316,2171.526316,29534.84211,,1631.263158,25236.21053,6732.684211,,361.526316,,734.789474,558.684211,2.052632,518.052632,443.684211,55.947368,1847.052632,151112.5789,3460.631579,14883.21053,65997.89474,119,31067.52632,379.421053,466.894737,1413.157895,11792.57895,197749.1053,49027.89474,95914.89474,47966.78947,1109.894737,59.578947,1475,,30232.68421,11677.31579,127136.8947,292181.0526,7757.263158,18622.63158,45470.26316,101874.6842,3401.894737,41939.84211,186057.3158,,17923.63158,12415.68421,577.842105,9118.631579,25127.47368,17999.21053,,85.578947,295.526316,,,860.684211,1760,58.842105,2284.842105,5520.368421,162.105263,,1930.105263,9275.578947,68138.21053,10937.1579,31.789474,362.263158,49.421053,782.894737,288.894737,1.210526,4.315789,
      Bahrain,,,,,,,0.421053,2.789474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.473684,,,,,,,,,,,1.578947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.526316,,,2.263158,3.157895,,10.631579,8.947368,83.157895,,0.789474,24.210526,,,,,,,,,,,,2.157895,,,0.473684,,1.315789,,,15.947368,,1.736842,,0.263158,,,,,,,,5.263158,2.315789,,,1.210526,0.789474,,0.789474,401.263158,,,,,,0.263158,0.684211,,,,,,,,,,,,,,,1.105263,,,,,,,,7,
      Cyprus,2.368421,,37.894737,1.947368,,2.526316,15.368421,50.105263,,,,,,,,,,,,0.736842,,,0.263158,,,,,,,,,,,,,,,,7.315789,,,,,,,,,1.789474,,,,,2.105263,,0.368421,15.157895,,,0.473684,,,1.894737,,,,2.736842,3.210526,,,,,25.421053,,,,,,,,,,,,,,,,,,,,,,,,,,56.526316,2.368421,2.315789,,3.473684,10.842105,6.842105,4.421053,446.631579,1.421053,5.578947,10.421053,,11.157895,30.894737,1.789474,,0.631579,,,,,,,,,0.368421,3.263158,,,,0.421053,,,,,0.421053,,0.684211,,,,,,1.263158,1.210526,27.473684,25.315789,232.421053,4.263158,16.421053,2.526316,,37.894737,92.368421,,2.526316,0.473684,,0.263158,,9.052632,,,0.947368,,,3.368421,98.473684,,7.894737,,15.684211,,14.157895,87,7.947368,,,,,,,,184.368421,
      Iran,188.052632,,,0.842105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.631579,,,,,,,83.894737,43.947368,,,,,,,,,,39.789474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.368421,,,,,0.578947,15.263158,,0.473684,,,,,0.684211,9,,,,,,,,,,,1.684211,,,1.263158,,14.631579,,,0.578947,,0.789474,11.631579,,,,,,,,0.263158,3.263158,1.578947,,1.368421,0.368421,2.157895,,,67.947368,,145.210526,4.736842,,31.157895,19.315789,91.578947,,,1.473684,,,,36.263158,,1.631579,199.842105,,,0.631579,1.368421,1.263158,1.736842,,,,,,,,
      Iraq,,,,,,,,0.473684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.736842,,,,,,,,6.526316,,,,,,5.368421,0.578947,,,,,,,0.421053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.631579,,,,,2.631579,,,,,,,,,,,,,,,,,,,,,,1.947368,,,,,,,,,,,,,,,,,,,1.052632,,,,,,,54.368421,,,,,,,,,,,,,,122.105263,,,,,,1.842105,,,,,,,,,,,
      Jordan,,5.473684,12,1.842105,,10.684211,4.473684,21.842105,,,,,,0.421053,,,,,,,,,,,,,,,,,,,,,0.526316,,,,,,,,,,,,,,,,,,,,0.473684,36.315789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.315789,0.526316,13.105263,3.684211,,20.210526,,27.578947,19.368421,25.263158,20.894737,54.631579,,19.157895,76.105263,,,8.842105,,,,,,,,,0.947368,,,1.473684,,4.736842,,,4.105263,,,,,,,,,,0.736842,2.789474,8.315789,13.631579,1.105263,,4.526316,4.631579,,,338.315789,,,1.368421,,,7.315789,2.210526,,,0.263158,,,,0.263158,,,9.315789,6.631579,,,1,0.263158,,,,,,,,91.947368,
      Kuwait,,0.263158,6.368421,41.578947,,3.736842,8.052632,180.052632,,,,,,,,,,,,,,,3.263158,,,,,,,,,,,,,,,,,,,,,1.842105,,,2.894737,,,,,,,,1.526316,56.421053,,,,,,,,1.684211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.473684,182.473684,131.052632,473.631579,362.315789,145.842105,,374.210526,188.578947,137.789474,2832.315789,,9.105263,521.157895,2.736842,,71.368421,,1.157895,0.526316,,,,,1.842105,,23.421053,,56.368421,,0.736842,,,16.684211,4.947368,16.842105,2.157895,,,,,,,10.526316,,3.789474,6.947368,5.052632,,3.105263,1.631579,,3.736842,559.684211,,,,,,1.421053,3,,,,,,30,,,3.684211,0.315789,0.368421,,0.842105,2.368421,11.315789,,,,,,,,18.210526,
      Lebanon,0.263158,,47.210526,0.263158,,,1.578947,4.368421,,,,,,0.263158,,,,,,,,,,,,,,,1.894737,,1,,,,,,,,1.789474,,,,,1.315789,,,,0.315789,,,,,,,0.473684,109.789474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.842105,13.736842,,,24.315789,38.631579,,0.947368,3.578947,25.684211,,1.052632,12.789474,4.526316,,,,,,,,,,,,,,,,,,2.052632,,,,,,,,,,,3.421053,4,82.105263,8.894737,1.736842,,1.263158,14.684211,,,137.894737,,,,,0.842105,2.947368,18,,,,,,0.263158,,,,,65.421053,,1.894737,,8.368421,,,,,,,,,
      Oman,,,,,,1.631579,,9.526316,,,,,,,,,,0.368421,,,,,0.421053,,,1.842105,2.157895,0.947368,,,1.473684,,,,,,,,,,,,,,,0.894737,0.263158,,,,47.368421,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.473684,2.315789,1.421053,127.736842,,0.473684,6.368421,0.263158,,4.105263,5.631579,,,288.789474,0.315789,,6.263158,,,,,,,,0.263158,1.157895,0.263158,,,,,,,1.473684,,0.578947,,,,,,,,,,2.736842,0.315789,,,1.368421,2.368421,,,136.421053,,,,,,,,,,,,,,,,,,,,,0.631579,,,,,,,,,23.473684,
      Qatar,,,,,,,,0.947368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.421053,,,0.473684,1.052632,0.263158,0.789474,1.578947,,0.789474,,0.789474,63.789474,,,,,,,,,,,,0.842105,,,,,,,,0.578947,,,,,,,,,,,,2.526316,,,,,,,,50.315789,,,,,,,0.315789,,,,,,,,,,,,,,,0.263158,,,,,,,,,
      Saudi Arabia,5.473684,0.684211,3.052632,4.263158,,45.736842,6.263158,18.157895,,0.631579,,,,,,,,,,,,,35.684211,,13.473684,,,,,0.263158,,,,,,0.684211,,,,,0.473684,,,0.578947,,,5.210526,,,,,,,,6.315789,95.789474,,,,1.842105,,,,,,,,,,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.578947,43.631579,5.263158,,,46.368421,421.894737,,146.736842,43.157895,,,3.052632,79.526316,1.894737,,47.789474,,,,,,,,,35.315789,1.368421,,58.789474,,2.631579,,,,1.157895,14.105263,0.421053,,6.157895,,,,,35.631579,1.315789,18.736842,9.842105,0.368421,4.631579,15.947368,41.526316,,1.315789,1189.842105,,2.157895,0.368421,,,1.368421,13.052632,,,2.684211,,,,,,,0.263158,,,,,5.526316,,,,,,,,248.947368,
      Fm Dem Yemen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
      Syrn Arab Rp,,,4.473684,0.315789,,0.421053,,,,0.368421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.684211,6.947368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.315789,,,,,,3.421053,0.578947,,,,5.894737,14,2.263158,0.263158,2.578947,49.263158,,,10.631579,0.578947,,,,,,,,,,,,,,,,,,,,,,,,7.526316,,,,,,,4.789474,1.052632,1.052632,,,,,,4.368421,,,,,,,,,,,,,0.263158,0.315789,,,0.263158,32.842105,,,,0.526316,,,,,,,,,
      Untd Arab Em,21.368421,2.368421,2,6.842105,,0.789474,0.263158,196.526316,,,,,,13.315789,,5.157895,,,,,,,3.368421,,3.684211,,2.578947,67,,33.789474,,3.473684,1.315789,,,3.894737,8.526316,10.210526,,,,,,0.631579,24.894737,20.421053,,2.315789,15.842105,,48.105263,,,,19.210526,195.842105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,0.947368,,,,,9.684211,39.315789,30.736842,,,29.578947,90.210526,0.736842,1007.947368,60.368421,224.105263,,6.263158,,17,,,,,0.263158,,6,,,5,541.894737,232.684211,,15.157895,,8.105263,0.473684,1.157895,130.263158,28.105263,138.052632,0.315789,,,,,,,136.684211,42.736842,23.684211,43.894737,4.368421,73.210526,5.684211,483.947368,49.263158,13.052632,1796,,50.315789,0.473684,,1.315789,39.421053,213.736842,,,9.789474,,,,8.105263,,1.052632,,8.842105,,,19.368421,18.789474,0.894737,,,,,,,,
      Turkey,71.263158,10.368421,25.052632,65,,0.315789,74.578947,32,,,,,,,,,,,,,,,,,,,0.578947,,,,2.578947,,,,,,,,,,8,,,1.315789,,,,,,,,0.736842,,,5.368421,3139.631579,,,,26.210526,,1.263158,21.210526,,,,,2.210526,0.578947,,,,,,,,,,,,,,,,,,,,,,,,,,8.052632,,,192.368421,203.789474,2.210526,32.052632,897.631579,105.052632,38.578947,105,12.052632,5.210526,5.631579,282.789474,,36.315789,195.368421,,,0.263158,,,,,,,,,5.631579,,,3.315789,7.210526,0.789474,,,,,66.368421,,1.263158,,,,,,1320.473684,182.736842,4605.421053,6682.736842,1391.421053,37.210526,2321.947368,974.157895,193.263158,1839.157895,2228.684211,,212.947368,84.315789,4.684211,25.105263,102.421053,232.315789,,,4.368421,,13.473684,478.421053,347.210526,,336.421053,374.631579,914.947368,,266.157895,8028.368421,160.210526,,,,,,,,879.421053,
      Fm Yemen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
      Yemen,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.105263,2.684211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.526316,,,,,,,,,,5.315789,,0.578947,,,,,,,,,,,,,,,,,,,,,20.789474,,,,,,,,,,,,,10.842105,,1.210526,,,9.052632,,,,,,,4.684211,,,,,,,,,,,,,,,,,,,,,,,,
      Middle East nes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
      Afghanistan,,,,,,,,3.368421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.263158,,,,,,,,,1,9.368421,,,,,,1.736842,,,,,,,,,,,,,,,,,,,,,,,,,,,8.210526,,,,,,,,,,,,,,,,,,,,,,,,,0.578947,,0.263158,,,1.894737,,,1.315789,,,,,,,,,,0.578947,,770.105263,,4.421053,,1.631579,,,,,,,6.105263,,,,0.684211,,,,,,,,,,,,,1.578947,,,,,,,,,,,
      Bangladesh,0.368421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.789474,21.684211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.631579,,,0.736842,,11.526316,,,,,,,,,,,,,,2.210526,6.473684,9.789474,0.789474,,4.526316,7.105263,,22.789474,26.736842,,,1.578947,,1.263158,1,,,,,,,,,,,79.210526,0.263158,,,173.210526,12.263158,1.052632,,,,,,,,
      Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.736842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.684211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.578947,,,,,,,,,,,,0.947368,,,,,,,,,,,,,,,,,,,,,,,,,
