,South Africa,Algeria,Libya,Morocco,Western Sahara,Sudan,Tunisia,Egypt,North Africa nes,Cameroon,Central Afr Rep,Chad,Congo,Gabon,Ceuca nes,Angola,Br Ind Oc Tr,Burundi,Comoros,Congo Dem Rep,Benin,Eq Guinea,Ethiopia,Fr So Ant Tr,Djibouti,Gambia,Ghana,Guinea,Cote D'Ivoire,Kenya,Liberia,Madagascar,Malawi,Mali,Mauritania,Mauritius,Mozambique,Niger,Nigeria,Guinea-Bissau,Reunion,Rwanda,St Helena,Senegal,Seychelles,Sierra Leone,Somalia,Zimbabwe,Togo,Uganda,Tanzania,Burkina Faso,Zambia,Other Africa nes,Canada,USA,Bermuda,Greenland,St Pierre Miqu,Argentina,Bolivia,Brazil,Chile,Colombia,Ecuador,Mexico,Paraguay,Peru,Uruguay,Venezuela,Laia nes,Costa Rica,El Salvador,Guatemala,Honduras,Nicaragua,Cacm nes,Bahamas,Barbados,Cayman islds,Cuba,Dominican Rp,Guadeloupe,Haiti,Jamaica,Neth Antilles,St Kitts Nev,Trinidad Tbg,Turks Caicos Isl,Caribbean nes,Belize,Falkland Isl,French Guiana,Guyana,Panama,Suriname,Rest America nes,Israel,Japan,Bahrain,Cyprus,Iran,Iraq,Jordan,Kuwait,Lebanon,Oman,Qatar,Saudi Arabia,Fm Dem Yemen,Syrn Arab Rp,Untd Arab Em,Turkey,Fm Yemen,Yemen,Middle East nes,Afghanistan,Bangladesh,Bhutan,Brunei,Myanmar,Cambodia,Sri Lanka,Hong kong,India,Indonesia,Korea Rp,Laos P Dem R,Malaysia,Maldives,Nepal,Pakistan,Philippines,Singapore,Thailand,Taiwan,China,Korea D P Rp,Mongolia,Vietnam,Asia cpe nes,Belgium-Lux,Denmark,France,Germany,Greece,Ireland,Italy,Netherlands,Portugal,Spain,UK,EEC nes,Austria,Finland,Iceland,Norway,Sweden,Switzerland,EFTA nes,Gibraltar,Malta,Other Eur nes,Albania,Bulgaria,Fm Czechoslovak,Fm German Dm Rp,Hungary,Poland,Romania,Fm Eur cpe nes,Fm Yugoslavia,Fm USSR,Australia,New Zealand,Solomon Islds,Fiji,Kiribati,New Caledonia,Papua N Guinea,Oth Oceania nes,Areas nes,Unknown partner
      Benin,,1.473684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.526316,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.473684,,,0.473684,,,7.315789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
      Eq Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.368421,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
      Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,0.263158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.789474,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.578947,,,,,,,,,,,,,,,,,,,,,,,,0.526316,,,,0.736842,,,,,,,1.315789,,,,,,,,,,,,,,,,,,,,,,,,
      Fr So Ant Tr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
      Djibouti,,,,,,,,,,,,,,,,,,,,,,,1.789474,,,,,,,,,,,,,,,,,,1.210526,,,,,,,,,,,,,,,2.631579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.421053,,,,,,,,,,,,,15.947368,,,,,,,,,,,,,,,,,,,,0.315789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.263158,
      Gambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.526316,8.526316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.526316,,,,,,,,,,,,,,,,,,,,,5.210526,,,,,,,,,,,,,,,,,,,,,,0.368421,0.263158,,12.736842,,,0.736842,3.894737,,,3.421053,,,,,0.263158,3.421053,0.631579,,,,,,,,,,,,,0.368421,,,,,,,,,,,
      Ghana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.684211,,,,,,6.421053,46.157895,,,,,,,,,,1.210526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.526316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.631579,,,,,,,,0.263158,,1.684211,26.736842,,,0.526316,10.631579,,0.263158,105.631579,,2.578947,,,0.263158,1.263158,4.684211,,,,,,0.736842,,,,,,,0.315789,,5.157895,,,,,,,,,
      Guinea,,,,,,,,,,,,,,1.052632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.631579,8.894737,,,,,,,,,,,,,,,,,,,,,,,0.526316,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,4.736842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.684211,1.736842,,,,4.947368,,,,,0.473684,,,,,2.631579,,,,,,,0.894737,,,,,,0.473684,,,,,,,,,,,
      Cote D'Ivoire,2.526316,,,0.473684,,,,,,0.315789,,,1.210526,0.315789,,,,,,,0.368421,,,,,,0.421053,,,,,,,,,,,1.842105,5.842105,,,,,0.315789,,,,,1.315789,,,3.263158,,,,44.473684,,,,,,,,,,,,0.315789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.052632,0.315789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.421053,,36.578947,36.789474,0.684211,0.473684,2,16.473684,,,43.368421,,16.473684,,,3.894737,0.421053,19.157895,,,,,,,,,,,,,,,,,,,,,,,10.210526,
      Kenya,1.578947,,,,,,,,,,,,,,,,,,,0.684211,,,1.315789,,,,,,,,0.315789,,8.789474,,,0.315789,,,,,,1.315789,,,0.263158,,,,,11.263158,5.210526,,0.526316,,1.789474,24.052632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.947368,,,,,,,,,,,,,,,,,,,,,,,,,,,0.368421,,,0.736842,,,1,,3.315789,13.473684,,,,,,,,0.315789,,3.315789,0.263158,,1.368421,,,,17,,0.421053,,,,0.526316,3.526316,,,,,,,,,,1.473684,,,,,2.368421,0.263158,,,,,,,,
